listing_id,card_name,price,date_sold,grading_company,grade,set,rarity,auction_house,sale_type,split,grade_numeric,card_name_encoded,rarity_encoded,roll_mean_7d,roll_median_7d,roll_std_7d,roll_count_7d,roll_mean_14d,roll_median_14d,roll_std_14d,roll_count_14d,roll_mean_30d,roll_median_30d,roll_std_30d,roll_count_30d,momentum_abs_7d,momentum_pct_7d,momentum_abs_14d,momentum_pct_14d,card_volume_7d,card_volume_14d,card_volume_30d,market_volume_7d,market_volume_14d,market_volume_30d,roll_cv_7d,roll_cv_14d,roll_cv_30d,day_of_week,month,days_since_start
4238234180087676020,Mewtwo,50.13,2023-03-08,PSA,8,Pocket Monsters JP,Prism,eBay,Auction,train,8,3,1,,,,1,203.33,203.33,238.05456895426312,2,98.53000000000002,43.760000000000005,134.1792984032932,6,,,153.82333333333335,310.7123619714517,1,2,6,29,37,91,,1.1707793682892986,1.3618116147700514,2,3,796
8676279992553509583,Lugia,261.83,2021-03-29,PSA,10,Legendary Collection,Standard,eBay,Auction,train,10,2,2,,,,0,,,,0,,,,1,,,,,0,0,1,6,8,29,,,,0,3,87
5805404403064430380,Pikachu,20.5,2024-12-25,PSA,9,Japanese Basic (Base Set JP),Standard,eBay,Auction,train,9,4,2,,,,0,317.5,317.5,342.94678887547553,2,221.07142857142858,90.89,235.51353056873907,7,,,118.0,59.14786967418546,0,2,7,12,32,113,,1.0801473665369308,1.0653277634773335,2,12,1454
-5834115467315883946,Venusaur,131.0,2023-10-16,PSA,9,Japanese Basic (Base Set JP),Holo,eBay,Auction,train,9,6,0,,,,1,81.16666666666667,96.0,55.263761483754735,3,118.75,127.5,52.03829519370006,7,,,-65.77083333333333,-44.761094569686655,1,3,7,15,26,53,,0.6808676979518037,0.43821722268379,0,10,1018
-7274271645971754501,Mewtwo,38.0,2024-11-04,PSA,8,Pocket Monsters JP,Prism,eBay,Auction,train,8,3,1,,,,1,58.0,58.0,4.242640687119285,2,58.0,58.0,4.242640687119285,2,,,,,1,2,2,17,43,116,,0.0731489773641256,0.0731489773641256,0,11,1403
-1166716215180192957,Mewtwo,147.5,2022-10-24,PSA,10,,Standard,eBay,Auction,train,10,3,2,,,,0,,,,0,,,,0,,,,,0,0,0,10,10,13,,,,0,10,661
-1371624822162012936,Lugia,131.5,2024-01-16,PSA,9,Japanese Neo Genesis,Holo,eBay,Auction,train,9,2,0,186.84333333333333,175.79,35.437360699314695,3,177.0125,167.01999999999998,34.98264557843884,4,174.72714285714284,158.25,33.84384912815804,7,,,5.33250000000001,3.1060694315004724,3,4,7,10,14,33,0.18966350079022368,0.19762810862757627,0.19369543034208955,1,1,1110
ebay-276994512673,Venusaur,1000.0,2026-02-02,PSA,10,,Holo,eBay,FixedPrice,test,10,6,0,,,,1,1770.4375,965.0,1760.5946279666425,4,1225.7175,774.99,1292.4549718241087,8,,,1089.44,159.9770924269179,1,4,8,25,55,124,,0.9944404295360003,1.0544476780531475,0,2,1858
ebay-406348958943,Blastoise,349.99,2025-11-25,PSA,9,Japanese Basic (Base Set JP),Holo,eBay,FixedPrice,test,9,0,0,209.99333333333334,174.99,78.58689479380982,3,211.996,200.0,56.63894446403464,5,191.356,164.99,62.38213155846614,10,-5.006666666666661,-2.3286821705426326,41.28,24.180510321235268,3,5,10,18,44,110,0.37423518902414277,0.2671698733185279,0.3260003948580977,1,11,1789
-899911581816941189,Lugia,217.92,2024-12-08,PSA,9,Japanese Neo Genesis,Holo,eBay,Auction,train,9,2,0,83.752,31.0,82.36665751382655,5,100.53,126.7,73.66708763077308,7,121.06363636363636,152.5,63.98936681554636,11,-58.723,-41.21635374627128,-55.97,-35.763578274760384,5,7,11,37,62,118,0.9834589921891603,0.7327871046530695,0.5285597619366299,6,12,1437
-4621060527503384585,Pikachu,250.5,2023-02-13,PSA,10,Japanese Basic (Base Set JP),Standard,eBay,Auction,train,10,4,2,,,,0,,,,0,,,,0,,,,,0,0,0,18,28,56,,,,0,2,773
9015313122812041552,Mewtwo,159.0,2021-10-28,PSA,9,Japanese Basic (Base Set JP),Holo,eBay,Auction,train,9,3,0,,,,0,,,,1,122.75,122.75,43.487067042972676,2,,,,,0,1,2,11,22,42,,,0.3542734585985554,3,10,300
4229069248664087522,Pikachu,70.0,2022-01-02,PSA,8,,Standard,eBay,Auction,train,8,4,2,,,,0,,,,0,,,,1,,,,,0,0,1,12,20,46,,,,6,1,366
ebay-206025439729,Pikachu,20000.0,2026-02-28,PSA,10,,Standard,eBay,BestOffer,test,10,4,2,8425.3,6274.0,6558.734245264097,10,6390.103571428571,4125.0,6424.406933132914,14,5660.215625,3150.0,6306.709327684783,16,7123.187499999999,547.048546112567,,,10,14,16,58,108,176,0.7784570573468123,1.0053682012068974,1.114217150991449,5,2,1884
-8478109306878738187,Blastoise,15.5,2024-09-23,PSA,9,,Prism,eBay,Auction,train,9,0,1,89.27,89.27,88.06307852897262,2,68.13499999999999,29.384999999999998,73.42368167015326,6,77.86923076923077,78.0,52.63546197852079,13,31.7025,55.070135058843974,-27.280000000000015,-28.590892417334814,2,6,13,28,59,117,0.9864801000220973,1.0776206306619691,0.6759468593507559,0,9,1361
ebay-357604162778,Mewtwo,80.0,2025-10-03,PSA,8,Japanese Basic (Base Set JP),Holo,eBay,BestOffer,test,8,3,0,,,,0,,,,0,646.7066666666666,90.37,964.1403583676671,3,,,,,0,0,3,18,39,93,,,1.4908464811985864,4,10,1736
ebay-306762756412,Lugia,881.0,2026-02-19,PSA,10,Neo Revelation,Standard,eBay,BestOffer,test,10,2,2,,,,0,,,,1,1889.327142857143,2450.0,1238.530711161607,7,,,,,0,1,7,46,75,137,,,0.6555406329941535,3,2,1875
-3950716647738645636,Pikachu,333.0,2024-07-08,PSA,10,Pocket Monsters JP,Standard,eBay,Auction,train,10,4,2,254.454,255.0,102.86979916379734,5,244.40875,238.25,79.19629887410865,8,231.35583333333332,238.25,99.22711024882935,12,26.78733333333335,11.766032210834561,-0.5912500000000023,-0.2413265306122458,5,8,12,13,27,65,0.4042766046664518,0.3240321750923756,0.42889391989466163,0,7,1284
-3265621615760666212,Venusaur,51.0,2024-09-02,PSA,8,Pocket Monsters JP,Prism,eBay,Auction,train,8,6,1,,,,0,8.942499999999999,8.885,1.2661852155194357,4,284.154,9.27,615.3925991430186,5,,,,,0,4,5,15,37,81,,0.14159186083527378,2.1657009901075424,0,9,1340
-2881507417237785937,Lugia,147.5,2024-11-17,PSA,9,Japanese Neo Genesis,Holo,eBay,Auction,train,9,2,0,,,,0,160.68333333333334,160.0,2.6031583381218515,3,115.11285714285714,158.49,63.61804453514891,7,,,63.80333333333334,65.85810624827967,0,3,7,24,49,101,,0.016200549765305577,0.5526580272106162,6,11,1416
ebay-357809239812,Lugia,540.0,2025-11-04,PSA,8,Neo Genesis,Holo,eBay,Auction,test,8,2,0,,,,0,,,,1,,,,1,,,,,0,1,1,34,57,104,,,,1,11,1768
ebay-136779351645,Rayquaza,149.99,2025-12-13,PSA,8,,Standard,eBay,FixedPrice,test,8,5,2,,,,0,,,,0,,,,0,,,,,0,0,0,8,21,71,,,,5,12,1807
-3392950215972061667,Blastoise,127.5,2021-08-22,PSA,8,Japanese Basic (Base Set JP),Holo,eBay,Auction,train,8,0,0,128.5,128.5,33.94112549695428,2,128.5,128.5,33.94112549695428,2,133.5742857142857,128.5,34.721443353804126,7,,,1.4933333333333394,1.1757912970447795,2,2,7,7,18,58,0.26413327234983874,0.26413327234983874,0.25994107449747483,6,8,233
-6638366498608846071,Mewtwo,98.74,2023-07-09,PSA,9,Japanese Basic (Base Set JP),Holo,eBay,Auction,train,9,3,0,93.005,96.25999999999999,11.872100347734037,4,93.005,96.25999999999999,11.872100347734037,4,81.20599999999999,91.0,28.315933323837303,5,,,,,4,4,5,8,16,21,0.12765013007616835,0.12765013007616835,0.34869262522273364,6,7,919
ebay-155689950965,Rayquaza,699.99,2026-03-16,PSA,10,,Holo,eBay,FixedPrice,test,10,5,0,,,,0,2011.995,2011.995,1855.4552649013126,2,2147.3233333333333,2297.29,992.123177648152,6,,,-202.9925000000003,-9.16449867098574,0,2,6,74,154,275,,0.9221967573981609,0.46202784752869946,0,3,1900
2546845131096131365,Blastoise,210.5,2023-03-26,PSA,10,Japanese Team Rocket,Holo,eBay,Auction,train,10,0,0,,,,1,379.14,249.53,316.27974611093896,4,379.14,249.53,316.27974611093896,4,,,,,1,4,4,39,81,133,,0.8342030545733475,0.8342030545733475,6,3,814
ebay-157681021400,Mewtwo,1400.0,2026-02-14,PSA,10,,Standard,eBay,FixedPrice,test,10,3,2,1107.6733333333334,1125.0,100.14060182230448,3,1407.902857142857,1125.0,952.4148942156509,7,1233.12,1125.0,907.1281437591933,11,-525.4016666666666,-32.17253749317494,216.56952380952384,18.17875129906468,3,7,11,32,64,124,0.0904062586041954,0.6764777053925755,0.73563655099195,5,2,1870
fanatics-weekly-5834089,Mewtwo,2640.0,2026-03-30,PSA,10,,Standard,Fanatics Collect,Auction,test,10,3,2,,,,1,4199.995,4199.995,3111.276908288621,2,6114.141428571428,6400.0,5542.678100282175,7,,,-2679.8050000000003,-38.95178638913922,1,2,7,56,133,300,,0.7407810981414552,0.9065341659224956,0,3,1914
ebay-376943576144,Lugia,131.99,2026-03-13,PSA,8,Neo Revelation,Standard,eBay,FixedPrice,test,8,2,2,1721.87375,787.5,1535.3184552206333,8,2220.7319999999995,800.0,2365.215761266975,15,2137.9847619047614,800.0,2087.6276940719554,21,-1068.9819642857144,-38.30301791718772,289.6153333333327,14.997298626873883,8,15,21,75,143,256,0.8916556485169911,1.065061322693137,0.9764464795399467,4,3,1897
fanatics-vault-ae3e126d-76b9-46b7-8c30-16f2a9dabbec,Charizard,999.0,2026-01-04,PSA,9,Pocket Monsters JP,Prism,Fanatics Collect,FixedPrice,test,9,1,1,,,,1,,,,1,,,,1,,,,,1,1,1,13,33,63,,,,6,1,1829
-4500579994992232076,Blastoise,78.0,2024-08-27,PSA,9,Japanese Team Rocket,Holo,eBay,Auction,train,9,0,0,54.5,54.5,33.23401871576773,2,93.33333333333333,78.0,71.24839179471586,3,94.715,83.5,52.65797422993027,10,,,18.383333333333326,24.5274627529464,2,3,10,20,36,82,0.6097985085461969,0.7633756263719557,0.5559623526361217,1,8,1334
ebay-227220463519,Lugia,8500.0,2026-02-23,PSA,9,Neo Genesis,Holo,eBay,FixedPrice,test,9,2,0,744.995,744.995,820.250937244207,2,556.68,180.05,665.4272444828209,3,552.808,180.05,569.2357328646893,5,,,9.67999999999995,1.76965265082266,2,3,5,59,95,152,1.1010153588201357,1.1953496523726754,1.0297168869927522,0,2,1879
1420861374365559466,Venusaur,559.0,2024-09-03,PSA,10,Japanese Basic (Base Set JP),Holo,eBay,Auction,train,10,6,0,,,,1,443.775,443.775,216.05647699154957,2,384.51666666666665,291.0,184.05121796210238,3,,,,,1,2,3,24,44,91,,0.4868604067186065,0.47865602174704797,1,9,1341
ebay-236020072312,Mewtwo,45.0,2025-03-31,PSA,8,,Standard,eBay,Auction,val,8,3,2,,,,1,,,,1,,,,1,,,,,1,1,1,13,29,87,,,,0,3,1550
-7064320051837293655,Lugia,80.47,2023-10-22,PSA,9,Neo Revelation,Standard,eBay,Auction,train,9,2,2,50.5,50.5,7.7781745930520225,2,103.33666666666666,56.0,91.68091422609905,3,123.402,56.0,100.54217035652255,5,,,,,2,3,5,18,31,54,0.1540232592683569,0.8872060342514666,0.8147531673434997,6,10,1024
ebay-257199382079,Mewtwo,135.0,2026-01-16,PSA,10,,Standard,eBay,FixedPrice,test,10,3,2,896.6666666666666,660.0,695.8687615731384,3,673.5685714285713,650.0,489.2082646626953,7,597.0999999999999,608.92,471.2136692361545,9,390.4216666666666,77.12109090789373,344.10857142857134,104.44623669901394,3,7,9,31,59,92,0.7760618158808235,0.7262931873812546,0.7891704391829754,4,1,1841
ebay-406396987728,Lugia,185.0,2026-01-01,PSA,10,,Standard,eBay,FixedPrice,test,10,2,2,,,,1,,,,1,1130.0,1130.0,1032.3759005323593,2,,,,,1,1,2,10,28,52,,,0.9136069916215569,3,1,1826
-231258687380476633,Blastoise,81.0,2023-03-20,PSA,8,Japanese Basic (Base Set JP),Holo,eBay,Auction,train,8,0,0,63.25,67.5,14.997221964972935,4,69.78571428571429,71.0,35.66494210338908,7,64.55555555555556,71.0,36.02901993917928,9,-15.25,-19.426751592356688,23.535714285714292,50.8880308880309,4,7,9,35,73,118,0.23711022869522427,0.5110636534774279,0.5581087426034655,0,3,808
ebay-298176497809,Lugia,31.0,2026-04-08,PSA,8,,Standard,eBay,Auction,test,8,2,2,2944.4983333333334,4087.5,2168.8660996051985,6,1754.1507692307694,978.0,1828.9296420058624,13,1495.0364516129032,800.0,1627.9006260795902,31,2210.6454761904765,301.2382461515901,409.9054751131223,30.493353921851092,6,13,31,98,171,340,0.7365825529776827,1.04262967248128,1.0888701906387286,2,4,1923
ebay-277697417027,Lugia,364.72,2026-04-12,PSA,8,Japanese Neo Genesis,Holo,eBay,FixedPrice,test,8,2,0,1452.8172727272727,470.0,1849.1541064178014,11,1473.6644444444444,422.5,1811.9894087088928,18,1357.918,732.68,1589.5170823940057,35,-53.60701298701315,-3.5585600614235227,25.151587301587142,1.7363730792971905,11,18,35,99,179,337,1.272805700435068,1.2295807336194458,1.1705545418751395,6,4,1927
1694318284201527824,Lugia,880.0,2023-09-19,PSA,10,,Holo,eBay,Auction,train,10,2,0,205.75,205.75,120.56170619230635,2,205.75,205.75,120.56170619230635,2,205.75,205.75,120.56170619230635,2,,,,,2,2,2,7,13,25,0.5859621200112095,0.5859621200112095,0.5859621200112095,1,9,991
ebay-236272572238,Pikachu,320.0,2025-08-25,PSA,10,,Standard,eBay,Auction,val,10,4,2,,,,1,800.0,800.0,424.26406871192853,2,616.665,474.995,436.65470723444633,6,,,500.00333333333333,166.6696296625518,1,2,6,30,57,111,,0.5303300858899107,0.7080906281926919,0,8,1697
5700234286452262502,Mewtwo,91.0,2021-12-13,PSA,9,,Standard,eBay,Auction,train,9,3,2,,,,0,,,,0,111.83333333333333,109.5,10.692676621563628,3,,,,,0,0,3,18,22,41,,,0.09561260764438416,0,12,346
-2846366406237599507,Rayquaza,306.0,2024-10-21,PSA,10,,Holo,eBay,Auction,train,10,5,0,,,,1,,,,1,193.855,193.855,171.32490201368861,2,,,,,1,1,2,27,54,117,,,0.8837786077928793,0,10,1389
fanatics-weekly-5858457,Pikachu,4680.0,2026-04-13,PSA,10,Japanese Basic (Base Set JP),Standard,Fanatics Collect,Auction,test,10,4,2,2486.3035714285716,1962.5,1834.221338185633,14,3662.1423999999997,2600.0,4851.989848704068,25,3367.811333333333,2600.0,3741.2812125294004,45,-2672.3609740259735,-51.803348530981175,888.4539384615382,32.03149707623422,14,25,45,98,189,341,0.7377302431061274,1.324904746659788,1.1108939433452232,0,4,1928
-8448234586243246701,Lugia,1950.0,2021-02-28,PSA,8,Neo Genesis,Holo,eBay,Auction,train,8,2,0,,,,1,2256.96,2200.0,273.48424171543536,4,2256.96,2200.0,273.48424171543536,4,,,,,1,4,4,3,8,33,,0.12117372116273012,0.12117372116273012,6,2,58
ebay-297191710974,Rayquaza,124.5,2025-04-16,PSA,9,,Holo,eBay,Auction,val,9,5,0,,,,0,,,,0,,,,1,,,,,0,0,1,15,30,66,,,,2,4,1566
-367047772700330664,Pikachu,78.0,2023-03-26,PSA,9,,Standard,eBay,Auction,train,9,4,2,,,,1,72.89666666666666,94.0,38.29715437644595,3,76.26166666666667,95.0,37.892742532926626,6,,,-6.730000000000004,-8.45194239785667,1,3,6,39,81,133,,0.5253622165135026,0.49687797538641026,6,3,814
-8882946935593326205,Charizard,146.5,2024-07-09,PSA,9,Japanese Team Rocket,Holo,eBay,Auction,train,9,1,0,,,,0,,,,0,710.0,685.0,85.2936105461599,3,,,,,0,0,3,16,27,73,,,0.12013184583966183,1,7,1285
ebay-197611931054,Blastoise,130.0,2025-08-12,PSA,9,Japanese Team Rocket,Holo,eBay,FixedPrice,val,9,0,0,,,,0,154.5,154.5,27.577164466275352,2,182.575,183.25,39.03915769241613,4,,,-56.150000000000006,-26.655589840968435,0,2,4,23,51,95,,0.17849297389174984,0.21382531941621874,1,8,1684
-8422131993242044307,Lugia,865.23,2024-08-01,PSA,8,Neo Genesis,Holo,eBay,Auction,train,8,2,0,,,,0,,,,1,1048.7366666666667,1030.21,119.08580114074614,3,,,,,0,1,3,13,31,65,,,0.11355167119239924,3,8,1308
ebay-306128365247,Blastoise,960.0,2025-02-25,PSA,10,Japanese Basic (Base Set JP),Holo,eBay,FixedPrice,train,10,0,0,405.7033333333334,330.0,349.75460544978296,3,416.52750000000003,389.5,286.3928066339423,4,508.685,407.5,335.2123436718881,6,,,-276.47249999999997,-39.895021645021636,3,4,6,22,48,94,0.8620944831193144,0.6875723850980843,0.6589782353949657,1,2,1516
ebay-257025179824,Lugia,10.0,2025-07-27,PSA,8,,Standard,eBay,Auction,val,8,2,2,,,,0,,,,0,,,,0,,,,,0,0,0,18,35,76,,,,6,7,1668
